user_id,sku_id,time,model_id,type,cate,brand
27630,37957,2016-02-01 07:43:14,,6,8,489
65377,165713,2016-02-01 11:09:34,,6,5,124
10396,65823,2016-02-01 08:20:59,,6,6,78
65377,165713,2016-02-01 11:09:34,,6,5,124
10396,65823,2016-02-01 08:20:56,,6,6,78
10396,65823,2016-02-01 08:21:05,,6,6,78
97603,63371,2016-02-01 06:39:52,,6,4,519
58488,18341,2016-02-01 20:36:57,,6,4,36
88047,12037,2016-02-01 15:16:36,,6,4,752
65377,165713,2016-02-01 11:10:56,,6,5,124
47769,95309,2016-02-01 13:18:54,,6,4,658
58675,158623,2016-02-01 22:27:54,,6,8,677
85620,19852,2016-02-01 22:41:57,,6,8,214
97603,63371,2016-02-01 06:39:53,,6,4,519
62847,46906,2016-02-01 08:24:46,,6,5,489
58675,158623,2016-02-01 22:27:25,,6,8,677
28360,37009,2016-02-01 00:49:34,,6,4,581
56804,75906,2016-02-01 00:10:48,,6,4,752
28360,37009,2016-02-01 00:49:58,,6,4,581
64090,95309,2016-02-01 01:03:51,,6,4,658
56804,75906,2016-02-01 08:36:59,,6,4,752
97603,63371,2016-02-01 06:41:47,,6,4,519
97603,63371,2016-02-01 06:41:47,,6,4,519
64090,95309,2016-02-01 01:03:52,,6,4,658
99744,95309,2016-02-01 14:43:24,,6,4,658
99744,95309,2016-02-01 14:43:41,,6,4,658
50743,125372,2016-02-01 22:12:45,,6,6,235
99744,95309,2016-02-01 14:43:39,,6,4,658
95161,90579,2016-02-01 23:26:07,,6,8,766
95161,90579,2016-02-01 23:26:06,,6,8,766
103391,37546,2016-02-01 21:30:40,,6,6,489
88047,12037,2016-02-01 15:16:37,,6,4,752
85421,106487,2016-02-01 06:27:35,,6,4,800
45567,95309,2016-02-01 20:42:11,,6,4,658
49587,80236,2016-02-01 17:12:50,,6,4,200
49587,80236,2016-02-01 15:23:28,,6,4,200
85421,106487,2016-02-01 06:30:47,,6,4,800
99744,95309,2016-02-01 14:43:23,,6,4,658
99744,95309,2016-02-01 14:45:27,,6,4,658
45567,95309,2016-02-01 20:42:11,,6,4,658
43823,132835,2016-02-01 21:31:48,,6,8,403
45567,95309,2016-02-01 20:41:42,,6,4,658
45567,95309,2016-02-01 20:42:13,,6,4,658
45567,95309,2016-02-01 20:41:56,,6,4,658
43823,132835,2016-02-01 21:31:11,,6,8,403
28360,37009,2016-02-01 00:52:21,,6,4,581
56804,75906,2016-02-01 08:36:59,,6,4,752
10396,65823,2016-02-01 08:21:05,,6,6,78
99744,95309,2016-02-01 14:43:39,,6,4,658
43823,132835,2016-02-01 21:31:12,,6,8,403
56804,75906,2016-02-01 00:08:15,,6,4,752
21468,139840,2016-02-01 00:25:05,,6,4,36
49587,80236,2016-02-01 15:23:27,,6,4,200
49587,80236,2016-02-01 17:12:51,,6,4,200
78453,169935,2016-02-01 01:02:40,,6,4,519
78453,169935,2016-02-01 01:03:41,,6,4,519
58488,18341,2016-02-01 20:36:55,,6,4,36
78453,169935,2016-02-01 01:03:40,,6,4,519
78453,169935,2016-02-01 01:02:41,,6,4,519
