dt,sku_id,comment_num,has_bad_comment,bad_comment_rate
2016-02-01,83714,4,1,0.0393
2016-02-01,125225,3,1,0.0833
2016-02-01,76379,4,1,0.0328
2016-02-01,150212,1,0,0.0
2016-02-01,123004,2,0,0.0
2016-02-01,2520,2,0,0.0
2016-02-01,6261,0,0,0.0
2016-02-01,126838,4,0,0.0
2016-02-01,50694,2,0,0.0
2016-02-01,29484,1,0,0.0
2016-02-01,4145,1,0,0.0
2016-02-01,32573,4,1,0.0503
2016-02-01,131403,1,0,0.0
2016-02-01,109890,3,1,0.0465
2016-02-01,164334,3,1,0.0526
2016-02-01,167028,2,1,0.5
2016-02-01,25082,3,1,0.1538
2016-02-01,80143,2,0,0.0
2016-02-01,114269,3,0,0.0
2016-02-01,111620,4,1,0.0658
2016-02-01,41886,0,0,0.0
2016-02-01,114629,1,0,0.0
2016-02-01,54710,1,0,0.0
2016-02-01,73452,0,0,0.0
2016-02-01,70065,0,0,0.0
2016-02-01,74100,0,0,0.0
2016-02-01,22839,2,0,0.0
2016-02-01,137273,1,0,0.0
2016-02-01,135184,1,0,0.0
2016-02-01,115403,4,1,0.0235
2016-02-01,44877,2,0,0.0
2016-02-01,115786,2,1,0.5
2016-02-01,116512,1,0,0.0
2016-02-01,56164,1,0,0.0
2016-02-01,88808,4,0,0.0
2016-02-01,108776,1,0,0.0
2016-02-01,166342,2,0,0.0
2016-02-01,12191,1,0,0.0
2016-02-01,137146,2,0,0.0
2016-02-01,86878,2,0,0.0
2016-02-01,136821,0,0,0.0
2016-02-01,115806,1,0,0.0
2016-02-01,50412,1,0,0.0
2016-02-01,53883,1,0,0.0
2016-02-01,70708,2,0,0.0
2016-02-01,78310,2,0,0.0
2016-02-01,5811,2,0,0.0
2016-02-01,159182,3,0,0.0
2016-02-01,113245,2,0,0.0
2016-02-01,136559,2,1,0.2
2016-02-01,98396,0,0,0.0
2016-02-01,153367,4,1,0.0225
2016-02-01,57381,0,0,0.0
2016-02-01,111019,1,0,0.0
2016-02-01,147695,1,0,0.0
2016-02-01,85528,2,0,0.0
2016-02-01,126177,0,0,0.0
2016-02-01,156285,2,0,0.0
2016-02-01,159364,1,0,0.0
2016-02-01,61261,4,0,0.0
2016-02-01,133262,2,0,0.0
2016-02-01,133359,2,0,0.0
2016-02-01,148182,2,0,0.0
2016-02-01,97819,2,0,0.0
2016-02-01,5966,2,0,0.0
2016-02-01,81729,2,0,0.0
2016-02-01,105273,0,0,0.0
2016-02-01,48281,2,0,0.0
2016-02-01,135340,1,0,0.0
2016-02-01,92858,2,0,0.0
2016-02-01,71890,4,1,0.0164
2016-02-01,119705,2,0,0.0
2016-02-01,82308,2,0,0.0
2016-02-01,53357,2,0,0.0
2016-02-01,138954,0,0,0.0
2016-02-01,110488,1,0,0.0
2016-02-01,158464,1,0,0.0
2016-02-01,13583,1,0,0.0
2016-02-01,57480,2,0,0.0
2016-02-01,163536,4,1,0.0347
2016-02-01,1469,3,1,0.0417
2016-02-01,155950,4,1,0.0307
2016-02-01,61155,4,1,0.0341
2016-02-01,43713,4,1,0.0657
2016-02-01,56601,3,1,0.0588
2016-02-01,169539,4,1,0.0222
2016-02-01,42045,2,1,0.1
2016-02-01,84254,2,1,0.5
2016-02-01,6119,1,0,0.0
2016-02-01,5812,2,0,0.0
2016-02-01,118219,1,0,0.0
2016-02-01,8062,0,0,0.0
2016-02-01,37059,4,1,0.0075
2016-02-01,81223,3,0,0.0
2016-02-01,37199,4,0,0.0
2016-02-01,159467,3,0,0.0
2016-02-01,162839,2,0,0.0
2016-02-01,80578,4,0,0.0
2016-02-01,93239,4,0,0.0
2016-02-01,50795,0,0,0.0
2016-02-01,27624,3,1,0.0769
2016-02-01,123776,3,1,0.0571
2016-02-01,7706,4,1,0.0411
2016-02-01,16275,1,0,0.0
2016-02-01,36286,1,0,0.0
2016-02-01,100474,1,0,0.0
2016-02-01,148230,3,1,0.093
2016-02-01,45072,3,1,0.0714
2016-02-01,104494,1,0,0.0
2016-02-01,139636,1,0,0.0
2016-02-01,52650,2,1,0.1111
2016-02-01,115182,3,1,0.1563
2016-02-01,34216,0,0,0.0
2016-02-01,67382,0,0,0.0
2016-02-01,137785,1,0,0.0
2016-02-01,3409,1,0,0.0
2016-02-01,13943,3,0,0.0
2016-02-01,56624,4,1,0.0161
2016-02-01,78974,2,0,0.0
2016-02-01,142520,1,0,0.0
2016-02-01,34658,0,0,0.0
2016-02-01,115945,0,0,0.0
2016-02-01,43430,2,0,0.0
2016-02-01,46796,4,1,0.0727
2016-02-01,23462,1,0,0.0
2016-02-01,153419,2,1,0.2
2016-02-01,122035,2,0,0.0
2016-02-01,159756,1,0,0.0
2016-02-01,117809,0,0,0.0
2016-02-01,100031,3,0,0.0
2016-02-01,69357,4,1,0.0381
2016-02-01,29806,3,1,0.0833
2016-02-01,146537,4,1,0.0597
2016-02-01,170637,2,0,0.0
2016-02-01,82564,1,0,0.0
2016-02-01,84876,3,1,0.0968
2016-02-01,55490,2,0,0.0
2016-02-01,28518,0,0,0.0
2016-02-01,155654,3,0,0.0
2016-02-01,10786,1,0,0.0
2016-02-01,86155,2,0,0.0
2016-02-01,98401,2,0,0.0
2016-02-01,164431,3,0,0.0
2016-02-01,48476,2,0,0.0
2016-02-01,37498,2,1,0.2857
2016-02-01,55821,3,1,0.0714
2016-02-01,99022,3,1,0.12
2016-02-01,19398,3,0,0.0
2016-02-01,6996,4,1,0.0324
2016-02-01,116664,3,1,0.1087
2016-02-01,14336,1,0,0.0
2016-02-01,62406,1,0,0.0
2016-02-01,1264,1,0,0.0
2016-02-01,132264,2,1,0.1429
2016-02-01,38760,3,1,0.0769
2016-02-01,7473,3,1,0.1667
2016-02-01,72118,1,0,0.0
2016-02-01,132760,3,1,0.0645
2016-02-01,162127,4,1,0.0214
2016-02-01,36317,1,0,0.0
2016-02-01,90208,3,0,0.0
2016-02-01,86933,2,0,0.0
2016-02-01,55734,2,0,0.0
2016-02-01,38067,2,0,0.0
2016-02-01,128205,1,0,0.0
2016-02-01,65537,4,1,0.0435
2016-02-01,100772,0,0,0.0
2016-02-01,120390,3,1,0.0222
2016-02-01,77952,4,1,0.0284
2016-02-01,121809,4,0,0.0
2016-02-01,46716,2,0,0.0
2016-02-01,134720,2,0,0.0
2016-02-01,144154,2,0,0.0
2016-02-01,34348,3,1,0.0556
2016-02-01,48189,2,0,0.0
2016-02-01,65603,0,0,0.0
2016-02-01,105551,3,1,0.2
2016-02-01,16931,1,0,0.0
2016-02-01,45487,1,0,0.0
2016-02-01,170430,2,0,0.0
2016-02-01,92480,0,0,0.0
2016-02-01,20169,3,0,0.0
2016-02-01,78829,3,0,0.0
2016-02-01,65269,2,0,0.0
2016-02-01,130812,2,0,0.0
2016-02-01,78162,2,0,0.0
2016-02-01,68297,1,0,0.0
2016-02-01,72014,2,0,0.0
2016-02-01,7095,2,0,0.0
2016-02-01,67765,1,0,0.0
2016-02-01,31960,3,0,0.0
2016-02-01,170210,2,0,0.0
2016-02-01,148646,4,1,0.0431
2016-02-01,81436,4,1,0.2182
2016-02-01,131254,3,1,0.0714
2016-02-01,150768,4,1,0.0508
2016-02-01,64232,0,0,0.0
2016-02-01,95194,1,1,1.0
2016-02-01,158981,1,0,0.0
2016-02-01,83522,2,0,0.0
2016-02-01,161529,2,0,0.0
2016-02-01,120219,3,1,0.0455
2016-02-01,57383,2,1,0.1
2016-02-01,30991,2,0,0.0
2016-02-01,116797,4,0,0.0
2016-02-01,122357,2,0,0.0
2016-02-01,60344,1,0,0.0
2016-02-01,64212,2,0,0.0
2016-02-01,11702,2,0,0.0
2016-02-01,157400,4,1,0.012
2016-02-01,109823,1,0,0.0
2016-02-01,61102,2,0,0.0
2016-02-01,113585,4,0,0.0
2016-02-01,99333,4,0,0.0
2016-02-01,107473,2,0,0.0
2016-02-01,124935,2,0,0.0
2016-02-01,165682,2,0,0.0
2016-02-01,64100,2,0,0.0
2016-02-01,7207,1,0,0.0
2016-02-01,12103,2,0,0.0
2016-02-01,39550,3,1,0.0909
2016-02-01,114365,2,0,0.0
2016-02-01,5798,2,0,0.0
2016-02-01,18737,3,1,0.0833
2016-02-01,63240,1,0,0.0
2016-02-01,58585,0,0,0.0
2016-02-01,147629,2,1,0.5
2016-02-01,126088,2,1,0.5
2016-02-01,17904,1,0,0.0
2016-02-01,42784,1,0,0.0
2016-02-01,5685,1,0,0.0
2016-02-01,151904,2,1,0.1
2016-02-01,19619,2,1,0.5
2016-02-01,168075,2,0,0.0
2016-02-01,60419,4,1,0.0889
2016-02-01,68407,2,0,0.0
2016-02-01,5723,2,0,0.0
2016-02-01,74664,0,0,0.0
2016-02-01,132651,2,1,0.3333
2016-02-01,44572,1,0,0.0
2016-02-01,47362,3,1,0.0698
2016-02-01,46409,2,0,0.0
2016-02-01,137944,2,0,0.0
2016-02-01,22406,0,0,0.0
2016-02-01,76680,1,0,0.0
2016-02-01,128088,1,0,0.0
2016-02-01,94301,4,1,0.0141
2016-02-01,167272,4,1,0.0825
2016-02-01,10275,4,1,0.0249
2016-02-01,139594,1,0,0.0
2016-02-01,16510,3,0,0.0
2016-02-01,24033,2,0,0.0
2016-02-01,114676,2,0,0.0
2016-02-01,27223,0,0,0.0
2016-02-01,108139,4,1,0.061
2016-02-01,55186,4,1,0.0323
2016-02-01,113928,4,1,0.0383
2016-02-01,60887,4,1,0.0684
2016-02-01,1194,4,1,0.0595
2016-02-01,104796,2,0,0.0
2016-02-01,10461,3,0,0.0
2016-02-01,90100,2,0,0.0
2016-02-01,63702,4,1,0.0753
2016-02-01,139050,1,0,0.0
2016-02-01,43979,3,1,0.1136
2016-02-01,84343,2,1,0.2857
2016-02-01,156836,1,0,0.0
2016-02-01,17446,3,1,0.0435
2016-02-01,149064,3,1,0.0909
2016-02-01,25961,2,0,0.0
2016-02-01,76909,4,1,0.0286
2016-02-01,169230,2,0,0.0
2016-02-01,113084,2,0,0.0
2016-02-01,71705,1,0,0.0
2016-02-01,135354,4,0,0.0
2016-02-01,140508,3,1,0.0667
2016-02-01,165804,2,0,0.0
2016-02-01,131076,2,1,0.5
2016-02-01,54479,4,1,0.0459
2016-02-01,20012,4,1,0.044
2016-02-01,84568,3,0,0.0
2016-02-01,72844,1,0,0.0
2016-02-01,16367,4,1,0.0346
2016-02-01,59215,4,1,0.004
2016-02-01,70548,3,0,0.0
2016-02-01,110401,3,1,0.0851
2016-02-01,126375,1,0,0.0
2016-02-01,62183,1,0,0.0
2016-02-01,140603,2,0,0.0
2016-02-01,36602,2,0,0.0
2016-02-01,137467,1,0,0.0
2016-02-01,7918,3,1,0.1429
2016-02-01,109844,2,0,0.0
2016-02-01,166958,1,0,0.0
2016-02-01,94291,1,0,0.0
2016-02-01,152896,3,1,0.0435
2016-02-01,139487,3,1,0.2353
2016-02-01,41553,3,1,0.075
