user_id,sku_id,time,model_id,type,cate,brand
80850,159187,2016-03-12 00:08:36,,6,5,225
96193,85689,2016-03-12 02:26:56,,6,8,214
96193,85689,2016-03-12 02:26:51,,6,8,214
59624,123110,2016-03-12 17:17:10,,6,4,800
51202,164641,2016-03-12 07:26:31,,6,9,117
59624,123110,2016-03-12 17:17:11,,6,4,800
88097,126623,2016-03-12 20:15:11,,6,5,479
17184,26229,2016-03-12 21:44:44,,6,9,640
96193,85689,2016-03-12 02:26:35,,6,8,214
96193,85689,2016-03-12 02:26:50,,6,8,214
96193,85689,2016-03-12 02:27:11,,6,8,214
47968,74791,2016-03-12 12:02:52,,6,5,479
96193,85689,2016-03-12 02:27:06,,6,8,214
96193,85689,2016-03-12 02:26:53,,6,8,214
96193,85689,2016-03-12 02:27:08,,6,8,214
59624,123110,2016-03-12 17:16:46,,6,4,800
87171,53785,2016-03-12 12:42:48,,6,4,174
87171,53785,2016-03-12 12:42:50,,6,4,174
61439,18341,2016-03-12 01:17:06,,6,4,36
61650,103234,2016-03-12 21:09:32,,6,8,214
61439,18341,2016-03-12 01:17:11,,6,4,36
72513,85689,2016-03-12 08:13:04,,6,8,214
71154,70491,2016-03-12 13:48:09,,6,6,306
71154,70491,2016-03-12 13:45:21,,6,6,306
71154,70491,2016-03-12 13:45:35,,6,6,306
44588,75043,2016-03-12 14:13:09,,6,9,427
60621,159187,2016-03-12 00:07:53,,6,5,225
60621,159187,2016-03-12 00:07:53,,6,5,225
60621,159187,2016-03-12 00:08:04,,6,5,225
67350,111532,2016-03-12 13:05:56,,6,6,306
61650,103234,2016-03-12 21:09:32,,6,8,214
71154,70491,2016-03-12 13:45:20,,6,6,306
71154,70491,2016-03-12 13:45:35,,6,6,306
71154,70491,2016-03-12 13:47:02,,6,6,306
74466,126623,2016-03-12 00:19:22,,6,5,479
74466,126623,2016-03-12 00:19:21,,6,5,479
44588,75043,2016-03-12 14:13:32,,6,9,427
58105,118673,2016-03-12 20:24:02,,6,7,861
44588,75043,2016-03-12 14:13:07,,6,9,427
44588,75043,2016-03-12 14:13:32,,6,9,427
61439,18341,2016-03-12 01:16:49,,6,4,36
33250,18412,2016-03-12 00:04:08,,6,8,214
33250,18412,2016-03-12 00:04:08,,6,8,214
61439,18341,2016-03-12 18:33:47,,6,4,36
61439,18341,2016-03-12 01:17:09,,6,4,36
103538,47827,2016-03-12 20:07:26,,6,4,800
103538,47827,2016-03-12 20:07:12,,6,4,800
103538,47827,2016-03-12 20:07:27,,6,4,800
103538,47827,2016-03-12 20:07:13,,6,4,800
101988,103234,2016-03-12 10:41:49,,6,8,214
77476,103234,2016-03-12 08:06:01,,6,8,214
101988,103234,2016-03-12 10:41:48,,6,8,214
77476,103234,2016-03-12 08:06:46,,6,8,214
67350,111532,2016-03-12 13:05:55,,6,6,306
63002,125363,2016-03-12 08:37:07,,6,8,800
59624,123110,2016-03-12 17:17:04,,6,4,800
63002,125363,2016-03-12 07:47:35,,6,8,800
77476,103234,2016-03-12 08:06:16,,6,8,214
77476,103234,2016-03-12 08:06:31,,6,8,214
59624,123110,2016-03-12 17:16:45,,6,4,800
15127,109728,2016-03-12 22:30:57,,6,8,489
15127,109728,2016-03-12 22:27:52,,6,8,489
93082,125363,2016-03-12 19:52:42,,6,8,800
15127,109728,2016-03-12 22:27:50,,6,8,489
15127,109728,2016-03-12 22:26:49,,6,8,489
15127,109728,2016-03-12 22:32:08,,6,8,489
